,Node1,Relation,Node2
0,graphic design,CLOSELY_RELATED_TO,web development
1,graphic design,SUBJECT,communication design
2,graphic design,SUBJECT,graphic design
3,web design,CLOSELY_RELATED_TO,web development
4,web design,SUBJECT,communication design
5,web design,SUBJECT,web design
6,information architecture,CLOSELY_RELATED_TO,web development
7,information architecture,SUBJECT,information technology
8,information architecture,SUBJECT,information architects
9,information architecture,SUBJECT,enterprise architecture
10,information architecture,SUBJECT,wikiproject information architecture
11,information architecture,SUBJECT,data management
12,information architecture,SUBJECT,information governance
13,information architecture,SUBJECT,information science
14,information architecture,SUBJECT,information technology management
15,information architecture,SUBJECT,records management
16,information architecture,SUBJECT,technical communication
17,copywriting,CLOSELY_RELATED_TO,web development
18,copywriting,SUBJECT,journalism occupations
19,copywriting,SUBJECT,advertising occupations
20,copywriting,SUBJECT,communication design
21,copywriting,SUBJECT,copywriters
22,copyediting,CLOSELY_RELATED_TO,web development
23,copyediting,SUBJECT,journalism occupations
24,copyediting,SUBJECT,copy editing
25,copyediting,SUBJECT,technical communication
26,copyediting,SUBJECT,writing occupations
27,copyediting,SUBJECT,types of editors
28,usability,CLOSELY_RELATED_TO,web development
29,usability,SUBJECT,usability
30,usability,SUBJECT,human–computer interaction
31,usability,SUBJECT,technical communication
32,web accessibility,CLOSELY_RELATED_TO,web development
33,web accessibility,SUBJECT,usability
34,web accessibility,SUBJECT,accessible information
35,web accessibility,SUBJECT,web accessibility
36,web accessibility,SUBJECT,web design
37,search engine optimization,CLOSELY_RELATED_TO,web development
38,search engine optimization,SUBJECT,internet marketing
39,search engine optimization,SUBJECT,web analytics
40,search engine optimization,SUBJECT,internet terminology
41,search engine optimization,SUBJECT,search engine optimization
42,software testing,CLOSELY_RELATED_TO,web development
43,software testing,SUBJECT,computer occupations
44,software testing,SUBJECT,software testing
45,outline of web design and web development,SEE_ALSO,web development
46,web design,SEE_ALSO,web development
47,web design,SUBJECT,communication design
48,web design,SUBJECT,web design
49,web development tools,SEE_ALSO,web development
50,web development tools,SUBJECT,web development
51,web development tools,SUBJECT,computer programming tools
52,web application development,SEE_ALSO,web development
53,web application development,SUBJECT,web development
54,web application development,SUBJECT,web applications
55,web developer,SEE_ALSO,web development
56,web developer,SUBJECT,web development
57,web developer,SUBJECT,computer occupations
58,internet,SEE_ALSO,web development
59,internet,SUBJECT,1969 establishments in the united states
60,internet,SUBJECT,american inventions
61,internet,SUBJECT,computer-related introductions in 1969
62,internet,SUBJECT,computer-related introductions in 1989
63,internet,SUBJECT,cultural globalization
64,internet,SUBJECT,digital technology
65,internet,SUBJECT,internet
66,internet,SUBJECT,media technology
67,internet,SUBJECT,new media
68,internet,SUBJECT,public services
69,internet,SUBJECT,telegraphy
70,internet,SUBJECT,transport systems
71,internet,SUBJECT,virtual reality
72,intranet,SEE_ALSO,web development
73,intranet,SUBJECT,internet privacy
74,intranet,SUBJECT,computer networks
75,history of printing,CLOSELY_RELATED_TO,graphic design
76,history of printing,SUBJECT,history of science by discipline
77,history of printing,SUBJECT,textual scholarship
78,history of printing,SUBJECT,history of printing
79,history of printing,SUBJECT,history of writing
80,typography,CLOSELY_RELATED_TO,graphic design
81,typography,SUBJECT,text
82,typography,SUBJECT,communication design
83,typography,SUBJECT,design
84,typography,SUBJECT,graphic design
85,typography,SUBJECT,philatelic terminology
86,typography,SUBJECT,typography
87,page layout,CLOSELY_RELATED_TO,graphic design
88,page layout,SUBJECT,page layout
89,page layout,SUBJECT,book arts
90,page layout,SUBJECT,communication design
91,page layout,SUBJECT,composition in visual art
92,page layout,SUBJECT,graphic design
93,printmaking,CLOSELY_RELATED_TO,graphic design
94,printmaking,SUBJECT,art media
95,printmaking,SUBJECT,printing
96,printmaking,SUBJECT,printmaking
97,user interface design,CLOSELY_RELATED_TO,graphic design
98,user interface design,SUBJECT,usability
99,user interface design,SUBJECT,user interfaces
100,user interface design,SUBJECT,graphic design
101,user interface design,SUBJECT,industrial design
102,user experience design,CLOSELY_RELATED_TO,graphic design
103,user experience design,SUBJECT,user interfaces
104,user experience design,SUBJECT,design
105,user experience design,SUBJECT,human–computer interaction
106,user experience design,SUBJECT,software development process
107,user experience design,SUBJECT,web design
108,crowdsourcing creative work,CLOSELY_RELATED_TO,graphic design
109,crowdsourcing creative work,SUBJECT,crowdsourcing
110,crowdsourcing creative work,SUBJECT,creative works
111,browser wars,CLOSELY_RELATED_TO,web design
112,browser wars,SUBJECT,software wars
113,browser wars,SUBJECT,web browsers
114,typography,CLOSELY_RELATED_TO,web design
115,typography,SUBJECT,text
116,typography,SUBJECT,communication design
117,typography,SUBJECT,design
118,typography,SUBJECT,graphic design
119,typography,SUBJECT,philatelic terminology
120,typography,SUBJECT,typography
121,static web page,CLOSELY_RELATED_TO,web design
122,static web page,SUBJECT,web development
123,dynamic web page,CLOSELY_RELATED_TO,web design
124,dynamic web page,SUBJECT,web development
125,graphic designers,CLOSELY_RELATED_TO,web design
126,graphic designers,SUBJECT,graphic designers
127,graphic designers,SUBJECT,computer occupations
128,graphic designers,SUBJECT,media occupations
129,graphic designers,SUBJECT,visual arts occupations
130,user experience design,CLOSELY_RELATED_TO,web design
131,user experience design,SUBJECT,user interfaces
132,user experience design,SUBJECT,design
133,user experience design,SUBJECT,human–computer interaction
134,user experience design,SUBJECT,software development process
135,user experience design,SUBJECT,web design
136,aesthetics,SEE_ALSO,web design
137,aesthetics,SUBJECT,aesthetics
138,color theory,SEE_ALSO,web design
139,color theory,SUBJECT,color
140,color theory,SUBJECT,color space
141,composition (visual arts),SEE_ALSO,web design
142,composition (visual arts),SUBJECT,artistic techniques
143,composition (visual arts),SUBJECT,composition in visual art
144,composition (visual arts),SUBJECT,photographic techniques
145,cross-browser,SEE_ALSO,web design
146,cross-browser,SUBJECT,web browsers
147,design education,SEE_ALSO,web design
148,design education,SUBJECT,design
149,design principles and elements,SEE_ALSO,web design
150,design principles and elements,SUBJECT,design
151,drawing,SEE_ALSO,web design
152,drawing,SUBJECT,drawing
153,dark pattern,SEE_ALSO,web design
154,european design awards,SEE_ALSO,web design
155,first things first 2000 manifesto,SEE_ALSO,web design
156,richard saul wurman,CLOSELY_RELATED_TO,information architecture
157,peter morville,CLOSELY_RELATED_TO,information architecture
158,louis rosenfeld,CLOSELY_RELATED_TO,information architecture
159,jesse james garrett,CLOSELY_RELATED_TO,information architecture
160,adam greenfield,CLOSELY_RELATED_TO,information architecture
161,christina wodtke,CLOSELY_RELATED_TO,information architecture
162,applications architecture,SEE_ALSO,information architecture
163,applications architecture,SUBJECT,enterprise architecture
164,card sorting,SEE_ALSO,information architecture
165,card sorting,SUBJECT,usability
166,card sorting,SUBJECT,human–computer interaction
167,card sorting,SUBJECT,folksonomy
168,chief experience officer,SEE_ALSO,information architecture
169,chief experience officer,SUBJECT,corporate executives
170,chief experience officer,SUBJECT,management occupations
171,content management,SEE_ALSO,information architecture
172,content management,SUBJECT,content management systems
173,content management,SUBJECT,data management
174,content management,SUBJECT,technical communication
175,content strategy,SEE_ALSO,information architecture
176,content strategy,SUBJECT,web development
177,controlled vocabulary,SEE_ALSO,information architecture
178,controlled vocabulary,SUBJECT,controlled vocabularies
179,controlled vocabulary,SUBJECT,information science
180,controlled vocabulary,SUBJECT,knowledge representation
181,controlled vocabulary,SUBJECT,library cataloging and classification
182,controlled vocabulary,SUBJECT,ontology (information science)
183,controlled vocabulary,SUBJECT,semantic web
184,controlled vocabulary,SUBJECT,technical communication
185,controlled vocabulary,SUBJECT,information retrieval techniques
186,data management,SEE_ALSO,information architecture
187,data management,SUBJECT,data management
188,data management,SUBJECT,information technology management
189,data presentation architecture,SEE_ALSO,information architecture
190,data presentation architecture,SUBJECT,visualization (graphic)
191,data presentation architecture,SUBJECT,data
192,data presentation architecture,SUBJECT,statistical charts and diagrams
193,data presentation architecture,SUBJECT,information technology governance
194,digital humanities,SEE_ALSO,information architecture
195,digital humanities,SUBJECT,digital humanities
196,ecological interface design,SEE_ALSO,information architecture
197,ecological interface design,SUBJECT,ergonomics
198,ecological interface design,SUBJECT,human–computer interaction
199,enterprise information security architecture,SEE_ALSO,information architecture
200,enterprise information security architecture,SUBJECT,enterprise architecture
201,enterprise information security architecture,SUBJECT,computer security
202,faceted classification,SEE_ALSO,information architecture
203,faceted classification,SUBJECT,knowledge representation
204,faceted classification,SUBJECT,library cataloging and classification
205,human factors and ergonomics,SEE_ALSO,information architecture
206,human factors and ergonomics,SUBJECT,ergonomics
207,human factors and ergonomics,SUBJECT,industrial engineering
208,human factors and ergonomics,SUBJECT,occupational safety and health
209,human factors and ergonomics,SUBJECT,systems psychology
210,informatics,SEE_ALSO,information architecture
211,informatics,SUBJECT,computer science education
212,informatics,SUBJECT,schools of informatics
213,informatics,SUBJECT,artificial intelligence
214,informatics,SUBJECT,cognitive science
215,informatics,SUBJECT,information science
216,interaction design,SEE_ALSO,information architecture
217,interaction design,SUBJECT,usability
218,interaction design,SUBJECT,design
219,interaction design,SUBJECT,human–computer interaction
220,interaction design,SUBJECT,multimodal interaction
221,interaction design,SUBJECT,technical communication
222,process architecture,SEE_ALSO,information architecture
223,process architecture,SUBJECT,quality
224,process architecture,SUBJECT,systems engineering
225,process architecture,SUBJECT,systems theory
226,site map,SEE_ALSO,information architecture
227,site map,SUBJECT,search engine optimization
228,site map,SUBJECT,web design
229,social information architecture,SEE_ALSO,information architecture
230,social information architecture,SUBJECT,information technology
231,social information architecture,SUBJECT,information architects
232,social information architecture,SUBJECT,data management
233,social information architecture,SUBJECT,digital technology
234,social information architecture,SUBJECT,information science
235,social information architecture,SUBJECT,new media
236,social information architecture,SUBJECT,world wide web
237,tree testing,SEE_ALSO,information architecture
238,tree testing,SUBJECT,usability
239,tree testing,SUBJECT,software testing
240,tree testing,SUBJECT,web design
241,user experience design,SEE_ALSO,information architecture
242,user experience design,SUBJECT,user interfaces
243,user experience design,SUBJECT,design
244,user experience design,SUBJECT,human–computer interaction
245,user experience design,SUBJECT,software development process
246,user experience design,SUBJECT,web design
247,visualization (graphics),SEE_ALSO,information architecture
248,visualization (graphics),SUBJECT,visualization (graphic)
249,visualization (graphics),SUBJECT,computational science
250,visualization (graphics),SUBJECT,computer graphics
251,visualization (graphics),SUBJECT,data modeling
252,visualization (graphics),SUBJECT,infographics
253,wayfinding,SEE_ALSO,information architecture
254,wayfinding,SUBJECT,footpaths
255,wayfinding,SUBJECT,psychogeography
256,wayfinding,SUBJECT,trails
257,wayfinding,SUBJECT,polynesian navigation
258,wayfinding,SUBJECT,architectural theory
259,wayfinding,SUBJECT,environmental psychology
260,web graph,SEE_ALSO,information architecture
261,web graph,SUBJECT,application-specific graphs
262,web graph,SUBJECT,world wide web
263,web literacy,SEE_ALSO,information architecture
264,web literacy,SUBJECT,computing and society
265,web literacy,SUBJECT,literacy
266,web literacy,SUBJECT,technology in society
267,web literacy,SUBJECT,world wide web
268,art director,CLOSELY_RELATED_TO,copywriting
269,art director,SUBJECT,art directors
270,art director,SUBJECT,advertising occupations
271,art director,SUBJECT,theatrical management
272,art director,SUBJECT,computer occupations
273,art director,SUBJECT,filmmaking occupations
274,art director,SUBJECT,theatrical occupations
275,creative director,CLOSELY_RELATED_TO,copywriting
276,creative director,SUBJECT,directors
277,creative director,SUBJECT,advertising occupations
278,creative director,SUBJECT,arts occupations
279,creative director,SUBJECT,business occupations
280,creative director,SUBJECT,business terms
281,creative director,SUBJECT,communication design
282,creative director,SUBJECT,corporate executives
283,creative director,SUBJECT,design occupations
284,search engine optimization,CLOSELY_RELATED_TO,copywriting
285,search engine optimization,SUBJECT,internet marketing
286,search engine optimization,SUBJECT,web analytics
287,search engine optimization,SUBJECT,internet terminology
288,search engine optimization,SUBJECT,search engine optimization
289,copy editing,CLOSELY_RELATED_TO,copywriting
290,copy editing,SUBJECT,journalism occupations
291,copy editing,SUBJECT,copy editing
292,copy editing,SUBJECT,technical communication
293,copy editing,SUBJECT,writing occupations
294,copy editing,SUBJECT,types of editors
295,proofreading,CLOSELY_RELATED_TO,copywriting
296,proofreading,SUBJECT,proofreading
297,fact checking,CLOSELY_RELATED_TO,copywriting
298,fact checking,SUBJECT,journalism occupations
299,fact checking,SUBJECT,copy editing
300,fact checking,SUBJECT,newswriting
301,speechwriting,CLOSELY_RELATED_TO,copywriting
302,speechwriting,SUBJECT,speechwriters
303,speechwriting,SUBJECT,political occupations
304,speechwriting,SUBJECT,writing occupations
305,page layout,CLOSELY_RELATED_TO,copywriting
306,page layout,SUBJECT,page layout
307,page layout,SUBJECT,book arts
308,page layout,SUBJECT,communication design
309,page layout,SUBJECT,composition in visual art
310,page layout,SUBJECT,graphic design
311,content writing services,CLOSELY_RELATED_TO,copywriting
312,content writing services,SUBJECT,articles created via the article wizard
313,content writing services,SUBJECT,occupations
314,landing page,CLOSELY_RELATED_TO,copywriting
315,landing page,SUBJECT,internet marketing
316,landing page,SUBJECT,internet advertising
317,landing page,SUBJECT,internet terminology
318,landing page,SUBJECT,marketing
319,landing page,SUBJECT,compensation methods
320,landing page,SUBJECT,internet advertising methods
321,globalization,CLOSELY_RELATED_TO,copywriting
322,globalization,SUBJECT,economic geography
323,globalization,SUBJECT,globalization
324,globalization,SUBJECT,interculturalism
325,globalization,SUBJECT,capitalism
326,globalization,SUBJECT,cultural geography
327,globalization,SUBJECT,international trade
328,globalization,SUBJECT,theories of history
329,content marketing,CLOSELY_RELATED_TO,copywriting
330,content marketing,SUBJECT,advertising terminology
331,content marketing,SUBJECT,marketing
332,content marketing,SUBJECT,publishing
333,content marketing,SUBJECT,types of marketing
334,web content development,CLOSELY_RELATED_TO,copywriting
335,web content development,SUBJECT,web development
336,web content development,SUBJECT,world wide web
337,advertising,SEE_ALSO,copywriting
338,advertising,SUBJECT,advertising
339,advertising,SUBJECT,articles containing video clips
340,advertising,SUBJECT,branding companies
341,advertising,SUBJECT,communication design
342,advertising,SUBJECT,internet advertising services and affiliate networks
343,advertising,SUBJECT,marketing
344,advertising,SUBJECT,media manipulation techniques
345,advertising,SUBJECT,product design
346,advertising,SUBJECT,promotion and marketing communications
347,communication design,SEE_ALSO,copywriting
348,communication design,SUBJECT,packaging
349,communication design,SUBJECT,advertising campaigns
350,communication design,SUBJECT,advertising
351,communication design,SUBJECT,communication design
352,communication design,SUBJECT,communication studies
353,communication design,SUBJECT,design
354,communication design,SUBJECT,promotion and marketing communications
355,communication design,SUBJECT,writing
356,email marketing,SEE_ALSO,copywriting
357,email marketing,SUBJECT,internet marketing
358,email marketing,SUBJECT,email
359,email marketing,SUBJECT,market research
360,email marketing,SUBJECT,spamming
361,swipe file,SEE_ALSO,copywriting
362,swipe file,SUBJECT,advertising
363,cross-reference,CLOSELY_RELATED_TO,copyediting
364,cross-reference,SUBJECT,reference
365,table of contents,CLOSELY_RELATED_TO,copyediting
366,table of contents,SUBJECT,index (publishing)
367,table of contents,SUBJECT,book design
368,table of contents,SUBJECT,technical communication
369,bibliography,CLOSELY_RELATED_TO,copyediting
370,bibliography,SUBJECT,bibliography
371,bibliography,SUBJECT,book design
372,bibliography,SUBJECT,book terminology
373,bibliography,SUBJECT,textual scholarship
374,author editing,SEE_ALSO,copyediting
375,author editing,SUBJECT,academic publishing
376,author editing,SUBJECT,articles created via the article wizard
377,author editing,SUBJECT,publishing
378,author editing,SUBJECT,academic terminology
379,author editing,SUBJECT,editing
380,american copy editors society,SEE_ALSO,copyediting
381,ap stylebook,SEE_ALSO,copyediting
382,ap stylebook,SUBJECT,style guides for american english
383,ap stylebook,SUBJECT,journalism standards
384,ap stylebook,SUBJECT,publications established in 1953
385,ap stylebook,SUBJECT,associated press
386,headline,SEE_ALSO,copyediting
387,headline,SUBJECT,headlines
388,headline,SUBJECT,journalism terminology
389,news design,SEE_ALSO,copyediting
390,news design,SUBJECT,news design
391,news design,SUBJECT,copy editing
392,news design,SUBJECT,visual journalism
393,news design,SUBJECT,graphic design
394,photo caption,SEE_ALSO,copyediting
395,photo caption,SUBJECT,news design
396,photo caption,SUBJECT,copy editing
397,photo caption,SUBJECT,photojournalism
398,proofreading,SEE_ALSO,copyediting
399,proofreading,SUBJECT,proofreading
400,robinson prize,SEE_ALSO,copyediting
401,learnability,CLOSELY_RELATED_TO,usability
402,learnability,SUBJECT,software testing
403,natural user interface,CLOSELY_RELATED_TO,usability
404,natural user interface,SUBJECT,user interfaces
405,natural user interface,SUBJECT,history of human–computer interaction
406,end user,CLOSELY_RELATED_TO,usability
407,end user,SUBJECT,export and import control
408,end user,SUBJECT,computing terminology
409,goms,CLOSELY_RELATED_TO,usability
410,human processor model,CLOSELY_RELATED_TO,usability
411,human processor model,SUBJECT,human–computer interaction
412,keystroke level model,CLOSELY_RELATED_TO,usability
413,keystroke level model,SUBJECT,human–computer interaction
414,usability inspection,CLOSELY_RELATED_TO,usability
415,usability inspection,SUBJECT,usability inspection
416,recognition memory,CLOSELY_RELATED_TO,usability
417,recognition memory,SUBJECT,memory processes
418,recall (memory),CLOSELY_RELATED_TO,usability
419,recall (memory),SUBJECT,memory processes
420,usability testing,CLOSELY_RELATED_TO,usability
421,usability testing,SUBJECT,product testing
422,usability testing,SUBJECT,usability
423,usability testing,SUBJECT,educational technology
424,usability testing,SUBJECT,software testing
425,accessibility,SEE_ALSO,usability
426,accessibility,SUBJECT,accessibility
427,accessibility,SUBJECT,urban design
428,accessibility,SUBJECT,ergonomics
429,accessibility,SUBJECT,transportation planning
430,accessibility,SUBJECT,urban studies and planning terminology
431,chief experience officer,SEE_ALSO,usability
432,chief experience officer,SUBJECT,corporate executives
433,chief experience officer,SUBJECT,management occupations
434,chief experience officer,SEE_ALSO,usability
435,chief experience officer,SUBJECT,corporate executives
436,chief experience officer,SUBJECT,management occupations
437,design for all (inclusion),SEE_ALSO,usability
438,experience design,SEE_ALSO,usability
439,experience design,SUBJECT,human–computer interaction
440,experience design,SUBJECT,industrial design
441,fitts's law,SEE_ALSO,usability
442,fitts's law,SUBJECT,motor control
443,fitts's law,SUBJECT,human–computer interaction
444,form follows function,SEE_ALSO,usability
445,form follows function,SUBJECT,aesthetics
446,form follows function,SUBJECT,design
447,form follows function,SUBJECT,industrial design
448,form follows function,SUBJECT,architectural theory
449,gemba,SEE_ALSO,usability
450,gemba,SUBJECT,japanese business terms
451,gemba,SUBJECT,management
452,gemba,SUBJECT,manufacturing
453,gemba,SUBJECT,production and manufacturing
454,gemba,SUBJECT,quality
455,goms,SEE_ALSO,usability
456,gotcha (programming),SEE_ALSO,usability
457,gotcha (programming),SUBJECT,computer programming folklore
458,gotcha (programming),SUBJECT,programming language folklore
459,gui,SEE_ALSO,usability
460,human factors,SEE_ALSO,usability
461,human factors,SUBJECT,ergonomics
462,human factors,SUBJECT,industrial engineering
463,human factors,SUBJECT,occupational safety and health
464,human factors,SUBJECT,systems psychology
465,information architecture,SEE_ALSO,usability
466,information architecture,SUBJECT,information technology
467,information architecture,SUBJECT,information architects
468,information architecture,SUBJECT,enterprise architecture
469,information architecture,SUBJECT,wikiproject information architecture
470,information architecture,SUBJECT,data management
471,information architecture,SUBJECT,information governance
472,information architecture,SUBJECT,information science
473,information architecture,SUBJECT,information technology management
474,information architecture,SUBJECT,records management
475,information architecture,SUBJECT,technical communication
476,interaction design,SEE_ALSO,usability
477,interaction design,SUBJECT,usability
478,interaction design,SUBJECT,design
479,interaction design,SUBJECT,human–computer interaction
480,interaction design,SUBJECT,multimodal interaction
481,interaction design,SUBJECT,technical communication
482,interactive systems engineering,SEE_ALSO,usability
483,internationalization,SEE_ALSO,usability
484,internationalization,SUBJECT,international trade theory
485,learnability,SEE_ALSO,usability
486,learnability,SUBJECT,software testing
487,machine-readable documents,SEE_ALSO,usability
488,natural mapping (interface design),SEE_ALSO,usability
489,natural mapping (interface design),SUBJECT,usability
490,natural mapping (interface design),SUBJECT,design
491,needs analysis,SEE_ALSO,usability
492,needs analysis,SUBJECT,usability
493,needs analysis,SUBJECT,ergonomics
494,needs analysis,SUBJECT,human–computer interaction
495,needs analysis,SUBJECT,industrial engineering
496,needs analysis,SUBJECT,systems psychology
497,needs analysis,SUBJECT,software requirements
498,non-functional requirement,SEE_ALSO,usability
499,rite method,SEE_ALSO,usability
500,system usability scale,SEE_ALSO,usability
501,system usability scale,SUBJECT,usability
502,system usability scale,SUBJECT,user interfaces
503,system usability scale,SUBJECT,1986 introductions
504,system usability scale,SUBJECT,systems engineering
505,universal usability,SEE_ALSO,usability
506,universal usability,SUBJECT,usability
507,usability goals,SEE_ALSO,usability
508,usability goals,SUBJECT,usability
509,usability goals,SUBJECT,software testing
510,usability testing,SEE_ALSO,usability
511,usability testing,SUBJECT,product testing
512,usability testing,SUBJECT,usability
513,usability testing,SUBJECT,educational technology
514,usability testing,SUBJECT,software testing
515,usability engineering,SEE_ALSO,usability
516,usability engineering,SUBJECT,usability
517,user experience,SEE_ALSO,usability
518,user experience,SUBJECT,user interfaces
519,user experience,SUBJECT,human–computer interaction
520,user experience design,SEE_ALSO,usability
521,user experience design,SUBJECT,user interfaces
522,user experience design,SUBJECT,design
523,user experience design,SUBJECT,human–computer interaction
524,user experience design,SUBJECT,software development process
525,user experience design,SUBJECT,web design
526,web usability,SEE_ALSO,usability
527,web usability,SUBJECT,usability
528,web usability,SUBJECT,web design
529,world usability day,SEE_ALSO,usability
530,screen reader,CLOSELY_RELATED_TO,web accessibility
531,screen reader,SUBJECT,screen readers
532,screen reader,SUBJECT,assistive technology
533,refreshable braille display,CLOSELY_RELATED_TO,web accessibility
534,refreshable braille display,SUBJECT,american inventions
535,refreshable braille display,SUBJECT,braille technology
536,refreshable braille display,SUBJECT,computer accessibility
537,refreshable braille display,SUBJECT,haptic technology
538,braille,CLOSELY_RELATED_TO,web accessibility
539,braille,SUBJECT,1824 introductions
540,braille,SUBJECT,assistive technology
541,braille,SUBJECT,augmentative and alternative communication
542,braille,SUBJECT,blindness
543,braille,SUBJECT,braille
544,braille,SUBJECT,character sets
545,braille,SUBJECT,digital typography
546,braille,SUBJECT,french inventions
547,braille,SUBJECT,latin-alphabet representations
548,braille,SUBJECT,scripts encoded in unicode 3.0
549,screen magnifier,CLOSELY_RELATED_TO,web accessibility
550,screen magnifier,SUBJECT,assistive technology
551,screen magnifier,SUBJECT,screen magnifiers
552,speech recognition,CLOSELY_RELATED_TO,web accessibility
553,speech recognition,SUBJECT,automatic identification and data capture
554,speech recognition,SUBJECT,machine learning task
555,speech recognition,SUBJECT,computational linguistics
556,speech recognition,SUBJECT,computer accessibility
557,speech recognition,SUBJECT,history of human–computer interaction
558,speech recognition,SUBJECT,speech recognition
559,speech recognition,SUBJECT,user interface techniques
560,web content accessibility guidelines,CLOSELY_RELATED_TO,web accessibility
561,web accessibility initiative,CLOSELY_RELATED_TO,web accessibility
562,web content accessibility guidelines,CLOSELY_RELATED_TO,web accessibility
563,uaag,CLOSELY_RELATED_TO,web accessibility
564,accessible publishing,SEE_ALSO,web accessibility
565,accessible publishing,SUBJECT,accessible information
566,accessible publishing,SUBJECT,publishing
567,augmentative and alternative communication,SEE_ALSO,web accessibility
568,augmentative and alternative communication,SUBJECT,speech and language pathology
569,augmentative and alternative communication,SUBJECT,augmentative and alternative communication
570,blue beanie day,SEE_ALSO,web accessibility
571,computer accessibility,SEE_ALSO,web accessibility
572,computer accessibility,SUBJECT,computer accessibility
573,device independence,SEE_ALSO,web accessibility
574,device independence,SUBJECT,world wide web consortium
575,device independence,SUBJECT,world wide web
576,digital divide,SEE_ALSO,web accessibility
577,digital divide,SUBJECT,economic geography
578,digital divide,SUBJECT,global inequality
579,digital divide,SUBJECT,cultural globalization
580,digital divide,SUBJECT,digital divide
581,digital divide,SUBJECT,digital media
582,digital divide,SUBJECT,social inequality
583,digital divide,SUBJECT,technology in society
584,digital divide,SUBJECT,rural economics
585,digital divide,SUBJECT,technology development
586,european internet accessibility observatory,SEE_ALSO,web accessibility
587,knowbility,SEE_ALSO,web accessibility
588,knowbility,SUBJECT,organizations established in 1999
589,knowbility,SUBJECT,"companies based in austin, texas"
590,knowbility,SUBJECT,charities based in texas
591,knowbility,SUBJECT,american disability organizations
592,maguire v sydney organising committee for the olympic games (2000),SEE_ALSO,web accessibility
593,multimodal interaction,SEE_ALSO,web accessibility
594,multimodal interaction,SUBJECT,multimodal interaction
595,progressive enhancement,SEE_ALSO,web accessibility
596,progressive enhancement,SUBJECT,responsive web design
597,progressive enhancement,SUBJECT,usability
598,progressive enhancement,SUBJECT,web accessibility
599,progressive enhancement,SUBJECT,web design
600,universal design,SEE_ALSO,web accessibility
601,universal design,SUBJECT,accessibility
602,universal design,SUBJECT,accessible building
603,universal design,SUBJECT,architectural design
604,universal design,SUBJECT,design
605,universal design,SUBJECT,architectural theory
606,unobtrusive javascript,SEE_ALSO,web accessibility
607,web accessibility initiative,SEE_ALSO,web accessibility
608,web engineering,SEE_ALSO,web accessibility
609,web engineering,SUBJECT,web development
610,web engineering,SUBJECT,software engineering
611,web interoperability,SEE_ALSO,web accessibility
612,web interoperability,SUBJECT,interoperability
613,web interoperability,SUBJECT,web design
614,web literacy,SEE_ALSO,web accessibility
615,web literacy,SUBJECT,computing and society
616,web literacy,SUBJECT,literacy
617,web literacy,SUBJECT,technology in society
618,web literacy,SUBJECT,world wide web
619,robots exclusion standard,CLOSELY_RELATED_TO,search engine optimization
620,robots exclusion standard,SUBJECT,world wide web
621,blog network,SEE_ALSO,search engine optimization
622,blog network,SUBJECT,blogging
623,search engine marketing,SEE_ALSO,search engine optimization
624,search engine marketing,SUBJECT,internet marketing
625,search engine marketing,SUBJECT,internet terminology
626,search neutrality,SEE_ALSO,search engine optimization
627,search neutrality,SUBJECT,net neutrality
628,search neutrality,SUBJECT,computer law
629,search neutrality,SUBJECT,principles
630,search neutrality,SUBJECT,search engine optimization
631,user intent,SEE_ALSO,search engine optimization
632,website promotion,SEE_ALSO,search engine optimization
633,website promotion,SUBJECT,e-commerce
634,website promotion,SUBJECT,information technology management
635,website promotion,SUBJECT,marketing
636,website promotion,SUBJECT,world wide web
637,white-box testing,CLOSELY_RELATED_TO,software testing
638,white-box testing,SUBJECT,hardware testing
639,white-box testing,SUBJECT,software testing
640,api testing,CLOSELY_RELATED_TO,software testing
641,api testing,SUBJECT,software testing
642,application programming interfaces,CLOSELY_RELATED_TO,software testing
643,application programming interfaces,SUBJECT,application programming interfaces
644,application programming interfaces,SUBJECT,technical communication
645,code coverage,CLOSELY_RELATED_TO,software testing
646,code coverage,SUBJECT,software metrics
647,code coverage,SUBJECT,software testing
648,code coverage,SUBJECT,software testing tools
649,fault injection,CLOSELY_RELATED_TO,software testing
650,fault injection,SUBJECT,software testing
651,mutation testing,CLOSELY_RELATED_TO,software testing
652,mutation testing,SUBJECT,software testing
653,static testing,CLOSELY_RELATED_TO,software testing
654,black-box testing,CLOSELY_RELATED_TO,software testing
655,black-box testing,SUBJECT,hardware testing
656,black-box testing,SUBJECT,software testing
657,graphical user interface testing,CLOSELY_RELATED_TO,software testing
658,graphical user interface testing,SUBJECT,graphical user interface testing
659,graphical user interface testing,SUBJECT,software testing
660,gray box testing,CLOSELY_RELATED_TO,software testing
661,gray box testing,SUBJECT,hardware testing
662,gray box testing,SUBJECT,software testing
663,unit testing,CLOSELY_RELATED_TO,software testing
664,unit testing,SUBJECT,articles with example java code
665,unit testing,SUBJECT,extreme programming
666,unit testing,SUBJECT,software testing
667,unit testing,SUBJECT,unit testing
668,integration testing,CLOSELY_RELATED_TO,software testing
669,integration testing,SUBJECT,hardware testing
670,integration testing,SUBJECT,software testing
671,system testing,CLOSELY_RELATED_TO,software testing
672,system testing,SUBJECT,hardware testing
673,system testing,SUBJECT,software testing
674,system testing,SUBJECT,systems engineering
675,acceptance testing,CLOSELY_RELATED_TO,software testing
676,acceptance testing,SUBJECT,hardware testing
